Объект;Должность;График работы;Оклад (тариф)
БЦ Москва;Менеджер;Основной;40 230
БЦ Москва;Уборщик производственных и служебных помещений;Основной  на 0,25 ст  5/2 по 2,0ч;29 000
БЦ Москва;Уборщик производственных и служебных помещений;2/2 по 11ч. №1;29 000
БЦ Москва;Подсобный рабочий;Основной;29 000
БЦ Москва;Подсобный рабочий;Основной;29 000
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
Легион;Менеджер;Основной;45 978
Легион;Подсобный рабочий;Основной;29 000
Легион;Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Менеджер;Основной;68 966
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Менеджер;Основной;80 460
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Менеджер;Основной;45 978
Лемана Про (Шушары);Тракторист;Основной;29 000
Лемана Про (Шушары);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Подсобный рабочий;Основной;29 000
Лемана Про (Шушары);Дворник;Основной;29 000
Лемана Про (Испытателей);Менеджер;Основной;68 966
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Лемана Про (Испытателей);Подсобный рабочий;Основной;29 000
Масштаб;Уборщик территорий;Основной;29 000
Масштаб;Уборщик территорий;Основной;29 000
Масштаб;Подсобный рабочий;Основной;29 000
Мега-Дыбенко;Администратор;Мега-Дыбенко 2/2 по 11,5ч №1;291,28
Мега-Дыбенко;Сотрудник стола информации;Скользящий график 0,5 (для работающих по часовому тарифу);277,34
Мега-Дыбенко;Сотрудник стола информации;Мега Дыбенко 2/2 по 5ч. №2;277,34
Мега-Дыбенко;Сотрудник стола информации;Мега Дыбенко 2/2 по 5ч. №1;277,34
Мега-Дыбенко;Сотрудник стола информации;Мега-Дыбенко 2/2 по 10,5ч №2;277,34
Мега-Дыбенко;Старший администратор;Мега-Дыбенко 2/2 по 11.5ч №2;323,93
Мерседес;Менеджер;Основной;45 978
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;Основной;29 000
Мерседес;Подсобный рабочий;2/2 по 11ч. №3;29 000
Мерседес;Подсобный рабочий;Основной;29 000
ОЗОН (Бугры);Менеджер;Основной;57 472
ОЗОН (Бугры);Уборщик производственных и служебных помещений;2/2 по 11ч. №2;28 736
ОЗОН (Бугры);Уборщик производственных и служебных помещений;Основной;28 736
ОЗОН (Бугры);Уборщик производственных и служебных помещений;Основной;28 736
ОЗОН (Бугры);Уборщик производственных и служебных помещений;2/2 по 11ч. №2;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;29 000
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;29 000
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Бугры);Подсобный рабочий;Основной;28 736
ОЗОН (Волхонское шоссе);Уборщик производственных и служебных помещений;Основной;29 000
ОЗОН (Волхонское шоссе);Подсобный рабочий;Основной;29 000
Пепсико;Тракторист;Основной;29 000
Пепсико;Уборщик территорий;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
Пепсико;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Уборщик производственных и служебных помещений;Основной;29 000
Пепсико;Подсобный рабочий;Основной;29 000
Пепсико;Подсобный рабочий;Основной;29 000
Пепсико;Администратор;Основной;29 000
Пепсико;Администратор;Основной;29 000
Пепсико;Монтажник;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
СеверЛиквидГаз;Уборщик производственных и служебных помещений;Основной;29 000
СеверЛиквидГаз;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
СеверЛиквидГаз;Подсобный рабочий;Основной, на 0,5 ст по 4 ч. (и сов-во);29 000
ТК Василеостровский;Менеджер;Основной;40 230
ТК Василеостровский;Уборщик производственных и служебных помещений;2/2 по 11ч. №1;29 000
ТК Василеостровский;Уборщик производственных и служебных помещений;2/2 по 11ч. №3;29 000
ТК Василеостровский;Подсобный рабочий;Основной;29 000
ТК Василеостровский;Подсобный рабочий;2/2 по 11ч. №1;29 000
ТК Василеостровский;Подсобный рабочий;2/2 по 11ч. №3;29 000
ТК Василеостровский;Дворник;2/2 по 11ч. №2;29 000
АТАК 548 (Горки-10);Уборщик производственных и служебных помещений;Основной;23 000
КНАУФ ПЕТРОБОРД (Ступино);Менеджер;Основной, на 0,5 ст по 4 ч. (и сов-во);45 978
КНАУФ ПЕТРОБОРД (Ступино);Тракторист;2/2 по 11ч. №1;68 966
КНАУФ ПЕТРОБОРД (Ступино);Уборщик территорий;2/2 по 11ч. №4;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик территорий;2/2 по 11ч. №1;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;Основной;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;2/2 по 11ч. №1;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;2/2 по 11ч. №1;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;2/2 по 11ч. №3;45 978
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;2/2 по 11ч. №2;45 978
КНАУФ ПЕТРОБОРД (Ступино);Бригадир;Основной;45 978
КНАУФ ПЕТРОБОРД (Ступино);Бригадир;Основной;68 966
Новороссийск;Уборщик производственных и служебных помещений;Основной;22 440
Новороссийск;Уборщик производственных и служебных помещений;Основной;22 440
Тихвин;Менеджер;Основной;68 966
Тихвин;Тракторист;Основной;24 000
Тихвин;Тракторист;Основной;24 000
Тихвин;Тракторист;Основной;24 000
Тихвин;Тракторист;Основной;24 000
Тихвин;Уборщик территорий;Основной;24 000
Тихвин;Уборщик территорий;Основной;24 000
Тихвин;Уборщик производственных и служебных помещений;Основной;24 000
Тихвин;Уборщик производственных и служебных помещений;Основной;24 000
Тихвин;Уборщик производственных и служебных помещений;Основной;24 000
Тихвин;Уборщик производственных и служебных помещений;Основной;24 000
Пепсико, Домодедово;Менеджер;Основной;103 449
Пепсико, Домодедово;Тракторист;Основной;23 000
Пепсико, Домодедово;Уборщик территорий;Основной;23 000
Пепсико, Домодедово;Уборщик территорий;Основной;23 000
Пепсико, Домодедово;Уборщик территорий;Основной;23 000
Пепсико, Домодедово;Уборщик территорий;Основной;23 000
Пепсико, Домодедово;Уборщик территорий;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
Пепсико, Домодедово;Уборщик производственных и служебных помещений;Основной;23 000
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Подсобный рабочий;Основной;34 483
ОП Воронеж /Лемана Про;Прессовщик;Основной;34 483
ОП Воронеж /Лемана Про;Менеджер по производству;Основной;57 472
ОП Воронеж /Лемана Про;Бригадир;Основной;34 483
ОП Воронеж /Лемана Про;Бригадир;Основной;34 483
ОП Воронеж /Лемана Про;Уборщица;Основной;34 483
ОП Воронеж /Лемана Про;Уборщица;Основной;34 483
ОП Казань;Администратор;Казань-основной на 0,5 ст. по 4ч.(и сов-во);23 460
ОП Казань;Сотрудник стола информации;Основной;39 831
ОП Казань;Сотрудник стола информации;Основной;39 831
ОП Казань;Сотрудник стола информации;Казань-основной на 0,25ст. по 2ч.(и сов-во);39 831
ОП Казань;Сотрудник стола информации;Основной, на 0,5 ст по 4 ч. (и сов-во);39 831
ОП Казань;Помощник администратора;Казань - Основной график;23 460
ОП Казань;Помощник администратора;Казань-основной на 0,25ст. по 2ч.(и сов-во);23 460
ОП Казань;Старший администратор;Казань - Основной график;64 484
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Администратор;Основной, на 0,5 ст по 4 ч. (и сов-во);34 500
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Администратор;Основной;34 500
ОП Котельники;Помощник администратора;Основной;29 900
ОП Котельники;Помощник администратора;Основной;29 900
ОП Котельники;Помощник администратора;Основной;29 900
ОП Котельники;Помощник администратора;Основной, на 0,5 ст по 4 ч. (и сов-во);29 900
ОП Котельники;Ассистент приемной Администрации;Основной;70 345
ОП Котельники;Старший администратор;Основной;92 621
ОП Москва (БЦ Золотое кольцо);Менеджер;Основной;57 472
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Теплый стан);Администратор;Основной, на 0,5 ст по 4 ч. (и сов-во);41 035
ОП Москва (Теплый стан);Администратор;Основной;41 035
ОП Москва (Теплый стан);Ассистент;Основной;82 070
ОП Москва (Теплый стан);Секретарь;Основной;70 365
ОП Москва (Теплый стан);Сотрудник стола информации;Теплый стан 2/2 по 10,5ч №1;333,08
ОП Москва (Теплый стан);Сотрудник стола информации;Теплый стан 2/2 по 10,5ч №2;333,08
ОП Москва (Теплый стан);Сотрудник стола информации;Теплый стан 2/2 по 10,5ч №1;333,08
ОП Москва (Теплый стан);Старший администратор;Основной;79 772
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (М.Видео);Подсобный рабочий;Основной;33 000
ОП Москва (М.Видео);Подсобный рабочий;Основной;33 000
ОП Москва (М.Видео);Подсобный рабочий;Основной;33 000
ОП Москва (М.Видео);Официант;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Менеджер;Основной;45 978
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик территорий;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик территорий;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной;33 000
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;Основной;33 000
ОП Мурманск /ОЗОН;Менеджер;Основной  на 0,25 ст  5/2 по 2,0ч;42 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;Основной  на 0,75 ст  5/2 по 6,0ч;23 000
ОП Омск;Администратор;Основной, на 0,5 ст по 4 ч. (и сов-во);260
ОП Омск;Администратор;Основной;260
ОП Омск;Администратор;Основной;260
ОП Омск;Администратор;Основной, на 0,5 ст по 4 ч. (и сов-во);260
ОП Омск;Сотрудник стола информации;Основной  на 0,75 ст  5/2 по 6,0ч;215
ОП Омск;Сотрудник стола информации;Основной, на 0,5 ст по 4 ч. (и сов-во);215
ОП Омск;Сотрудник стола информации;5/2 по 7,0;215
ОП Омск;Сотрудник стола информации;Основной  на 0,75 ст  5/2 по 6,0ч;215
ОП Омск;Помощник администратора;Основной;50 000
ОП Петрозаводск /Лемана Про;Менеджер;Основной;29 050
ОП Петрозаводск /Лемана Про;Менеджер;Основной;29 800
ОП Петрозаводск /Лемана Про;Уборщик территорий;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик территорий;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик территорий;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик территорий;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);19 242
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной;22 440
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);19 242
ОП Петрозаводск /Лемана Про;Прессовщик;Основной;22 440
ОП Петрозаводск /Лемана Про;Прессовщик;Основной, на 0,5 ст по 4 ч. (и сов-во);22 440
ОП Петрозаводск /Лемана Про;Прессовщик;Основной;22 440
ОП Петрозаводск /Лемана Про;Прессовщик;Основной  на 0,75 ст  5/2 по 6,0ч;22 440
ОП Петрозаводск /Лемана Про;Дворник;Основной;22 440
ОП Петрозаводск /Лемана Про;Дворник;Основной;22 440
ОП Петрозаводск /Лемана Про;Оператор уборки;Основной;22 440
ОП Петрозаводск /Лемана Про;Оператор уборки;Основной;22 440
ОП Петрозаводск /Лемана Про;Оператор уборки;Основной;22 440
ОП Тула - Лемана Про;Менеджер;Основной;74 713
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Прессовщик;Основной;25 000
Аллерс;Подсобный рабочий;Основной график;24 000
КПМГ;Уборщик производственных и служебных помещений;Основной график;29 000
КПМГ;Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);29 000
Нью Сити;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной график;29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной график;29 000
Нью Сити;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Нью Сити;Менеджер по запуску;Основной график;40 230
Нью Сити;Водитель погрузчика;Основной график;29 000
Нью Сити;Уборщик территории;Основной график;29 000
Нью Сити;Тракторист;Основной график;29 000
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Водитель автомобиля;Основной график;57 472
ПортЭнерго;Тракторист;Основной график;57 472
ПортЭнерго;Техник;Основной график;34 483
ПортЭнерго;Техник;Основной график;34 483
ПортЭнерго;Менеджер;Основной график;114 943
Терминал;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Терминал;Уборщик производственных и служебных помещений;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Администратор;Основной график;29 000
Терминал;Менеджер;Основной график;37 932
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,75 ст 5/2- по 6,0ч;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на  0,25 ст 5/2 по 2,0ч;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
